,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
541,SSS0578,21,No,,8-14,Other (please specify below):,,,,SONA for course credit,Chinese Mandarin,No,Female,,7,6-8,"Yes, I do alright",,Neither Agree nor Disagree,Neither Agree nor Disagree,,2021-04-11 01:25:46,40631
542,SSS0579,21,No,,8-13,English,,,,SONA for course credit,,No,Male,,8,4-5,"Yes, I do alright",guitar,,,,2020-10-24 18:57:00,39747
543,SSS0580,19,No,in ear headphones,,English,the pitch of the notes (i think not sure because i dont know music) changed,,,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Agree,tried to remember the first tune in my head to compare,2020-10-24 22:50:53,40218
544,SSS0581,,No,Headphones ,12-15,Spanish,Pitch was different every so often ,,,SONA for course credit,,Yes,Female,,6,1,"Yes, but not so well",Violin ,Strongly Agree,Strongly Disagree,pitch,2021-04-11 10:15:42,40880
545,SSS0582,19,No,headphones,11-19,English,,,,SONA for course credit,,No,Female,,8,6-8,"Yes, I do alright",8,Agree,Agree,instinct,2021-03-22 17:00:29,40678
546,SSS0583,20,No,in-ear,6-10,Other (please specify below):,,,,Poeppel Lab Website,Chinese,No,Female,,0,4-5,"Yes, but not so well",Piano,Strongly Disagree,Strongly Agree,feeling,2020-10-25 03:37:18,40165
547,SSS0585,18,No,"headphones, in-ear, Philips bass boosting earbuds",3-18,English,It is the same as answered above.,,,SONA for course credit,,Yes,Female,,6,9+,"Yes, I do alright","Violin, piano",Agree,Neither Agree nor Disagree,"Sometimes I judged if the melodies were in the same key, and sometimes I judged if the melody itself followed a slightly different pattern.",2020-10-25 09:29:00,39792
548,SSS0586,19,No,"in-ear, airpods (Apple)",8-12,Other (please specify below):,,,,SONA for course credit,Mandarin,No,Female,,3,4-5,"Yes, I do alright",piano ,Strongly Agree,Disagree,the high and low note and also the rhythm,2020-10-25 11:29:25,39687
549,SSS0587,18,No,in-ear,12-14,English,,,,SONA for course credit,,No,Female,,2,2-3,"Yes, but not so well",Piano,Agree,Disagree,,2020-10-25 13:37:49,39838
550,SSS0588,19,No,over the ear headphones,7-13,English,"At some points it seemed that the melodies actually were somewhat smooth, and the ""more different"" one would be obvious because it went out of tune. But this wasn't always obvious.",,,SONA for course credit,,Yes,Female,,4,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,mainly just tried to hum it internally,2021-03-22 19:26:21,40697
551,SSS0589,19,No,,,Other (please specify below):,,,,SONA for course credit,,No,Male,,9,9+,"Yes, I am near professional","Violin, piano",Strongly Agree,Agree,,2020-10-25 18:44:52,39598
552,SSS0590,20,No,in ear headphones,,English,,,,SONA for course credit,,No,Female,,4,0,No,,Agree,Disagree,none,2020-10-25 21:03:10,37554
553,SSS0591,22,Yes,hyper X  Stinger headphones,10~13,Other (please specify below):,"most of the melodies changes in the sixth or seventh of the sound ""ding""",,,SONA for course credit,Chinese,Yes,Male,,6,2-3,"Yes, I do alright",Bamboo Flute,Strongly Agree,Agree,sensation,2021-03-22 17:39:10,40818
554,SSS0592,20,No,headphones,6,English,,,,SONA for course credit,,No,Male,,3,1,No,,Agree,Neither Agree nor Disagree,FELLING ,2021-04-11 12:34:23,41104
555,SSS0593,19,No,airpods,11-18,English,"I would recognize small melodies in the test sound, and would notice if they sound different in the two options. ",,,SONA for course credit,,Yes,Female,,8,6-8,"Yes, I do alright","Vocalist, Piano, Guitar, Ukulele",Strongly Agree,Strongly Agree,"Major vs,. minor scales, noticing when one melody has a weird sharp or flat in it. ",2020-10-25 23:12:59,40040
556,SSS0594,20,No,Apple Wireless Airpods,5-14,Other (please specify below):,high key/low key,,,SONA for course credit,Chinese,Yes,Female,,8,9+,"Yes, I am near professional",piano,Strongly Agree,Agree,compare one by one (just for some),2020-10-26 00:48:32,40255
557,SSS0596,21,No,speakers,"vocal from 7 to 12. trumpet from 3rd grade to 6th grade. some guitar, but no training",English,,,,SONA for course credit,,No,Female,,5,4-5,"Yes, but not so well",guitar,Strongly Agree,Agree,I mostly paid attention to minor notes vs major notes,2020-10-27 22:55:57,39499
558,SSS0598,20,No,"Over-the-ear, Bose Quiet Comfort 35",,English,,,,SONA for course credit,,No,Male,,5,0,No,,Strongly Agree,Agree,Finding patterns,2020-10-26 13:52:22,39540
559,SSS0599,19,No,in ear,10,English,I remembered the changes between notes and whether they were higher than the previous note,,,SONA for course credit,,Yes,Female,,5,1,No,,Strongly Agree,Agree,,2020-10-26 15:15:57,39795
560,SSS0600,19,No,over ear headphones phillips ,8-12,English,,,,SONA for course credit,,No,Female,,6,4-5,"Yes, but not so well","piano, clarinet",Agree,Neither Agree nor Disagree,"tone, pattern",2020-10-26 17:50:14,39209
561,SSS0601,21,No,Headphones (air pods),"4th-5th grade, 9-10 yrs old",Other (please specify below):,"Yes, mostly on the beginning and end.",,,SONA for course credit,German,Yes,Male,,6,1,"Yes, but not so well",The recorder (flute),Strongly Agree,Agree,"Focused on the rhythm, perhaps too much emphasis on the ending",2020-10-26 17:53:19,40138
562,SSS0602,19,No,in-ear headphones,9-13,English,,,,SONA for course credit,,No,Female,,3,4-5,"Yes, but not so well","Tuba, piano",Strongly Agree,Agree,I tried to listen for notes that sounded very wrong,2020-10-30 00:11:19,39828
563,SSS0603,20,No,in-ear,from 6 to 12,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,2,6-8,"Yes, but not so well",violin,Strongly Agree,Agree,categorize them as low to high or high to low,2020-10-27 11:50:55,39640
564,SSS0604,21,No,Apple in ear headphones ,,English,tones would change ,,,SONA for course credit,,Yes,Female,,1,0,No,,Strongly Agree,Strongly Disagree,,2020-10-27 13:41:04,40075
565,SSS0606,19,No,in ear,na,English,,,,SONA for course credit,,No,Female,,2,0,No,none,Agree,Agree,sound,2021-03-25 13:53:07,40779
566,SSS0607,20,Yes,in ear airpods,4,English,different pitches,,,SONA for course credit,,Yes,Female,"i randomly chose to close my eyes, space out, or focus on an object whenever one of the strategies stopped working.",1,0,No,,Strongly Agree,Strongly Agree,closing my eyes or spacing out,2020-10-28 00:12:21,39934
567,SSS0608,22,No,in ear jvc ,,English,beginning and ending of music,,,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Disagree,paying extra attention to beginning and ending chords,2020-10-28 02:06:26,38625
568,SSS0609,19,No,laptop speaker,6-9,Other (please specify below):,,,,SONA for course credit,chinese,No,Female,,2,2-3,"Yes, but not so well",piano guitar,Strongly Disagree,Disagree,,2020-10-29 17:12:40,38127
569,SSS0610,21,No,in-ear. Airpods. ,,Other (please specify below):,"It tried to catch, highest sound, lowest sound, and any outlier sound in two options and compare them to original sound. ",,,SONA for course credit,Japanese,Yes,Male,,6,0,"Yes, I do alright","Guitar, drum, bass ",Strongly Agree,Agree,tried to remember the original sound and compare two options. ,2020-10-28 07:29:06,40060
570,SSS0611,19,No,in-ear headphones,13-15,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,7,2-3,"Yes, I do alright",piano,Agree,Disagree,,2020-10-28 14:37:55,39875
571,SSS0612,21,No,"Headphones (over the ear), beats studio 3",3-16,English,"Runs up or down, alternating notes, base notes",,,SONA for course credit,,Yes,Female,,7,9+,"Yes, I do alright","Piano, Cello, Guitar, and I've dappled in some others ",Agree,Agree,"Major vs Minor, how many notes are different, rhythm, distance between notes, ""special features"" ",2020-10-28 19:52:15,34907
572,SSS0613,17,No,Airpods,13-17,English,,,,SONA for course credit,,No,Female,,6,4-5,No,,Agree,Agree,pay attention to the middle notes ,2020-10-28 20:53:12,39957
573,SSS0615,19,No,over the ear,,English,,,,SONA for course credit,,No,Female,,0,0,No,,Agree,Agree,,2020-10-28 21:41:37,39638
574,SSS0616,19,No,speakers,,English,,,,SONA for course credit,,No,Female,,7,0,No,,Strongly Agree,Strongly Agree,,2020-10-28 22:26:11,39796
575,SSS0617,18,No,Apple Air Pods Pro  ,17,Other (please specify below):,,,,SONA for course credit,Italian,No,Male,,6,1,"Yes, but not so well",Guitar,Strongly Agree,Strongly Disagree,no strategy,2020-10-29 01:43:06,39605
576,SSS0618,18,No,"In-ear headphones, AirPods, Apple",9-10,English,,,,SONA for course credit,,No,Female,,9,9+,"Yes, I am near professional",Trumpet,Strongly Agree,Agree,"When listening to the melodies, I tried to listen for extra notes, notes with different pitches than the test melody, and differences in the upbeats and downbeats of each note",2020-10-29 18:15:57,39950
577,SSS0619,23,No,,8-14,Other (please specify below):,,,,SONA for course credit,Korean,Yes,Female,,5,4-5,"Yes, I do alright",flute,Agree,Agree,,2020-10-29 17:46:28,38656
578,SSS0620,20,No,over-the-ear headphones,,English,note and pattern differences,,,SONA for course credit,,Yes,Male,,7,0,No,,Agree,Strongly Agree,I tried to see if any notes were different in each test sound,2020-10-29 19:23:58,37180
579,SSS0621,21,No,in ear airpods,,Other (please specify below):,sudden higher or lower note,,,SONA for course credit,Mandarin,Yes,Male,,6,0,No,,Agree,Agree,"listen really carefully, imagine singing along, repeat it after each time",2020-10-29 19:41:37,39541
580,SSS0622,17,No,"Yes airpods, in-ear",16-17,English,Melody and oitch,,,SONA for course credit,,Yes,Female,,3,1,"Yes, but not so well",Guitar,Agree,Neither Agree nor Disagree,,2020-10-29 20:48:49,40092
581,SSS0625,22,Yes,over-the-ear,,English,"If a note was significantly different amongst the samples, a higher or lower octave being the giveaway",,,SONA for course credit,,Yes,Male,"From predicting note patterns, to note octaves.",7,0,"Yes, but not so well",guitar,Strongly Agree,Agree,patterns,2020-10-29 23:38:33,39840
582,SSS0627,18,No,I listened with earbuds.,,English,,,,SONA for course credit,,No,Female,,2,0,No,,Strongly Agree,Agree,"I tried moving my finger to the beat and seeing which option better matched my original ""pattern.""",2020-10-30 00:53:45,39913
583,SSS0628,18,No,apple wired headphones,,English,,,,SONA for course credit,,No,Female,,6,0,No,,Agree,Disagree,Rhythm ,2021-03-22 18:59:04,40893
584,SSS0629,18,No,headphones,4,English,pitches and notes,,,SONA for course credit,,Yes,Male,,7,9+,"Yes, I do alright","piano, guitar",Strongly Agree,Strongly Disagree,none,2020-10-30 01:47:44,40100
585,SSS0630,19,No,"Earphones, Avantree.",13-18,English,,,,SONA for course credit,,No,Female,,6,4-5,"Yes, but not so well",Piano,Agree,Agree,Use my intuition.,2020-10-30 04:11:39,40106
586,SSS0631,22,No,Over ear headphones ,,English,how far it deviated from my anticipated replication ,,,SONA for course credit,,Yes,Female,,2,0,No,,Strongly Agree,Strongly Agree,trying to sing along,2021-03-22 19:24:48,38145
587,SSS0632,19,No,in ear,11,English,pItch,,,SONA for course credit,,Yes,Female,,7,4-5,"Yes, but not so well",violin,Strongly Agree,Neither Agree nor Disagree,,2020-10-30 10:12:32,40250
588,SSS0633,20,No,"in-ear, air pods",,English,listening for specific notes and repetition  ,,,SONA for course credit,,Yes,Male,,2,0,No,,Strongly Agree,Agree,listening for specific notes and repetition  ,2020-10-30 10:20:14,39629
589,SSS0634,21,No,airpods,10-present,English,I listened to if any of the note changed,,,SONA for course credit,,Yes,Female,,8,9+,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,"I tried to groove to the first one, and put the same groove on the next two to see if they matched up, in addition to this I just listened",2020-10-30 10:19:23,39793
590,SSS0635,20,No,"Headphones, covering both ears (over-the-ear?)",6 to 13,Other (please specify below):,Some went highly off-key or in some completely different direction that would be highly obvious on a music sheet,,,SONA for course credit,Korean,Yes,Female,,7,6-8,No,,Strongly Agree,Agree,Trying to determine both the actual note differences and also the differences in scale or pitch,2020-10-30 11:59:53,40200
591,SSS0636,19,No,"in-ear, apple wire earbuds",12-16,Other (please specify below):,Tried to detect if certain notes were higher or lower in the option melodies than in the test melodies.,,,SONA for course credit,Hungarian,Yes,Female,,8,6-8,No,,Strongly Agree,Disagree,Tried to detect if certain notes were higher or lower in the option melodies than in the test melodies.,2021-03-23 00:23:56,40376
592,SSS0637,19,No,Headphones,I was 9-12,English,I listened for different notes. ,,,SONA for course credit,,Yes,Male,,6,2-3,"Yes, but not so well",Drums,Agree,Agree,I listened for different notes.,2021-03-23 01:03:50,40935
593,SSS0638,19,No,over ear headphones,15,Other (please specify below):,,,,SONA for course credit,kannada,No,Male,,7,4-5,"Yes, but not so well",guitar,Strongly Agree,Disagree,none i listened,2021-04-11 14:02:55,41038
594,SSS0639,18,No,in-ear,,Spanish,it'd be one beat changed and it confused me,,,SONA for course credit,,Yes,Female,,3,0,No,,Strongly Agree,Neither Agree nor Disagree,"i repeated the test melody to myself so, ""DUH DUH DUH DuH DA""",2020-11-07 18:40:59,40038
595,SSS0640,20,No,In-ear earphones,14-16,Other (please specify below):,I only noticed the change in the tone range.,,,SONA for course credit,Serbian/Serbo-Croatian,Yes,Male,,8,2-3,No,trumpet and piano,Strongly Agree,Agree,"I mostly paid attention to the range. I also divided the melody in three parts. Melodies would always be the same with respect to last two tones, so i ignored that. I mostly paid attention to the middle parts listening for any added tones.",2021-03-23 03:08:27,41035
596,SSS0641,22,No,no,,English,,,,SONA for course credit,,No,Female,,5,0,"Yes, but not so well",piano,Neither Agree nor Disagree,Strongly Agree,hand gestures,2021-04-11 18:14:38,36959
597,SSS0642,19,No,I used airpod pros,,Other (please specify below):,There were ones where one part of the melody was higher/lower/offkey I think,,,SONA for course credit,Korean,Yes,Female,,6,0,No,,Strongly Agree,Strongly Agree,I just chose the one where I recognized one of the keys/tones were off,2020-11-07 23:44:39,40074
598,SSS0643,19,No,over the ear beats by dre (the ones you get when you buy a new mac),,English,,,,SONA for course credit,,No,Male,,0,0,No,,Strongly Agree,Agree,Just went off of feelings,2020-11-08 00:33:50,39980
599,SSS0644,19,No,headphones,8-18,English,,,,SONA for course credit,,No,Female,,5,9+,"Yes, I do alright",flute and piano,Strongly Agree,Strongly Agree,n/a no strategy,2021-04-11 15:49:14,40677
600,SSS0645,20,Yes,,3-18,Other (please specify below):,,,,SONA for course credit,Chinese,Yes,Female,,6,9+,"Yes, I do alright","piano, cello",Strongly Agree,Neither Agree nor Disagree,,2021-03-26 09:40:20,40843
601,SSS0646,20,No,over the ear,11-18,English,notes becoming flat/sharp/not in the key,,,SONA for course credit,,Yes,Female,,6,6-8,"Yes, I do alright",cello,Strongly Agree,Strongly Disagree,which had more notes off key,2021-04-11 16:11:06,40757
602,SSS0647,20,No,airpods,11-17,Other (please specify below):,pitch and notes,,,SONA for course credit,French,Yes,Female,,6,4-5,"Yes, I do alright",clarinet,Strongly Agree,Strongly Agree,no particular strategy ,2020-11-08 10:02:28,39884
603,SSS0648,24,No,over-the-ear,12-13,Other (please specify below):,Individual melodies change the high and low notes,,,SONA for course credit,Mandarin,Yes,Male,,2,1,"Yes, but not so well",Piano,Neither Agree nor Disagree,Agree,Melody and Pitch,2021-03-23 07:24:30,39677
604,SSS0649,19,Yes,airpod pro,na,English,,,,SONA for course credit,,No,Female,i also tried counting out the beats,5,0,"Yes, I do alright",ukulele,Strongly Agree,Strongly Agree,I tried to remember the highest or lowest notes and see if they were repeated in option 1 and 2,2020-11-10 17:32:46,39833
605,SSS0650,18,No,I used headphones until the 5th module then switched to speakers,10-15,English,I tried to get a feel of how the music went to match them to each other,,,SONA for course credit,,Yes,Male,,2,4-5,"Yes, but not so well",Saxophone,Strongly Agree,Agree,I looked for notes on the more extreme spectrum. i.e. high notes and low notes,2020-11-08 16:48:34,40027
606,SSS0651,20,Yes,in ear headphones,,English,pitch,,,SONA for course credit,,Yes,Female,,2,0,No,,Neither Agree nor Disagree,Neither Agree nor Disagree,,2020-11-09 00:13:16,37102
607,SSS0652,20,Yes,over-the-ear beats pro headphones,10-19,English,I noticed the lowest and highest notes played and if any sharp or flat notes were played. ,,,SONA for course credit,,Yes,Female,I got better at recognizing differences around block 5.,7,9+,"Yes, I do alright","clarinet, chorus",Strongly Agree,Strongly Agree,I started to group the notes into groups of four. Then compared the individual groups.,2020-11-08 18:30:03,37255
608,SSS0653,19,Yes,In ear galaxy buds +,,Other (please specify below):,"Over time I felt as if the most different melody almost always had a note that was particularly sharp or flat compared to the other ones, in other words off-key",,,SONA for course credit,French,Yes,Male,I adopted this strategy around block 6,5,0,No,,Strongly Agree,Disagree,"singing along, conducting with my hands, listening for a note that seems off key",2020-11-08 23:37:42,40259
609,SSS0654,20,Yes,headphones DT 770 PRO,11-18,Other (please specify below):,usually the percussion,,,SONA for course credit,portuguese,Yes,Female,also melodic,10,6-8,"Yes, but not so well",guitar but ive had professional vocal training,Strongly Agree,Neither Agree nor Disagree,Listening to the instruments and tones,2020-11-09 00:46:14,39663
610,SSS0655,19,No,in-ear apple headphones,12-14,English,,,,SONA for course credit,,No,Female,,5,2-3,"Yes, but not so well",Guitar,Strongly Agree,Strongly Disagree,,2020-11-09 04:08:38,40007
611,SSS0656,21,No,in ear,5-10,Other (please specify below):, The tone from black keys or white keys,,,SONA for course credit,Chinese,Yes,Male,,6,9+,"Yes, but not so well",Piano,Agree,Neither Agree nor Disagree, The pitch change of two adjacent tones,2020-11-09 04:24:39,39688
612,SSS0657,20,No,earphone (in-ear) ,8-15,Other (please specify below):,"I think one test is changing pitch, and the other is changing rhythm or repeat some part more times",,,SONA for course credit,Mandarin,Yes,Male,,8,6-8,"Yes, I do alright",piano,Agree,Disagree,listen to the pitch,2021-03-23 10:24:16,40543
613,SSS0658,22,Yes,over-the-year headphones,11-13/14,Other (please specify below):,"as above, i create a mental image of the sample melody, then choose the option with any outlier notes that stand out.",,,SONA for course credit,Korean,Yes,Male,"at first, i tried to memorize the sequence of notes, which soon became tiring and confusing",6,2-3,"Yes, I do alright","drums, percussion",Strongly Agree,Agree,"there were too many notes to remember the sequence of.  So, i remember the general feel to the melody, and choose the option with any note that seems to pop out.",2021-04-11 16:50:45,37618
614,SSS0659,18,No,in ear; airpods pro,,English,specific keys did not go with the other melody and those how I discriminated which melody was more similar. ,,,SONA for course credit,,Yes,Female,,6,0,No,,Strongly Agree,Neither Agree nor Disagree,the sound of different keys,2021-04-11 17:21:05,40682
615,SSS0661,19,No,in-ear,10,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,6,1,No,,Strongly Agree,Agree,,2020-11-09 09:16:58,40271
616,SSS0662,19,Yes,,,Other (please specify below):,,,,SONA for course credit,Chinese,Yes,Male,,5,2-3,"Yes, I do alright",,Disagree,Agree,,2020-11-09 22:37:41,39644
617,SSS0663,19,No,"speakers, studio monitors, logitech speakers",12-current,English,Some of the pieces sounded like they were a note or two off of the original and some of them sounded like the melody changed for short portions of it,,,SONA for course credit,,Yes,Male,,10,6-8,"Yes, I do alright","piano, voice",Strongly Agree,Disagree,"Notes that were off the melody, progressions that werent the same",2021-04-11 18:15:30,40463
618,SSS0664,22,No,I listened to the entire task with over the ear headphones. They are Hunterspider brand gaming headphones.,I began formal lessons at 8 or 9 and have been in music education since then.,English,I judged the intervals as they appeared in my mental representation.,,,SONA for course credit,,Yes,Female,,10,9+,"Yes, I do alright","I am proficient in Guitar, Bass Guitar, Ukulele, Classical Percussion, and Cajon. I have also had training in Piano, Violin, Viola, Cello, Flute, Recorder, Clarinet, Saxophone, Trumpet, Trombone, and various others.",Strongly Agree,Agree,"I automatically imagine the notes somewhat linearly in space. This likely helps me judge intervals but the processing really is automatic and not controlled or intentional, so it is likely prone to errors.",2021-04-11 21:47:53,39668
619,SSS0665,19,No,in ear,,Other (please specify below):,,,,SONA for course credit,Mandarin,No,Female,,3,0,No,,Strongly Agree,Agree,,2021-04-11 21:15:37,40768
620,SSS0666,19,No,"studio monitors, audiotechnica M50x ",5,English,whatever seemed off the melody key!,,,SONA for course credit,,Yes,Male,,10,4-5,"Yes, I do alright",piano ,Strongly Agree,Strongly Agree,"to be honest i looked away, at my backyard and it really helped a lot. ",2021-04-11 21:22:16,40850
621,SSS0667,20,No,speakers,6-11,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,5,4-5,"Yes, I do alright",Piano,Strongly Agree,Neither Agree nor Disagree,focus on the change from high to low of the melody,2021-03-23 10:22:50,41050
622,SSS0668,21,No,headphones,in middle school,Other (please specify below):,there was a short melody I kept hearing every once in a while,,,SONA for course credit,Mandarin,Yes,Male,,5,2-3,"Yes, but not so well",violin and guitar,Neither Agree nor Disagree,Strongly Agree,not sure,2020-11-09 10:29:22,39835
623,SSS0670,19,No,airpods in-ear headphones ,9-15,English,I tried to follow the sequence of each note and wether or not that note would change to a flat or sharp note ,,,SONA for course credit,,Yes,Female,,7,4-5,"Yes, but not so well",piano and violin ,Strongly Agree,Agree,key or rhythm changes   ,2021-04-11 22:04:27,40801
624,SSS0671,18,No,yes i listened to headphones in-ear.,7-18,English,,,,SONA for course credit,,No,Female,,7,9+,"Yes, I do alright",violin,Agree,Agree,to listen carefully,2020-11-09 14:17:00,39732
625,SSS0672,19,No,Speakers (Macbook Pro),,English,,,,SONA for course credit,,No,Male,,2,0,No,,Agree,Agree,"Looked for tone/key changes, along with length of melody",2020-11-09 14:04:20,39776
626,SSS0673,19,No,In-ear headphones (air pods),14-19,English,If there was one random note (a note that didn't follow the pattern of the test) in either option 1 or 2 i picked that option as the most different,,,SONA for course credit,,Yes,Female,,7,4-5,No,,Strongly Agree,Agree,I just tried to see if the melodies followed the same pattern as the test melody,2020-11-09 14:48:02,39558
627,SSS0674,18,No,In ear headphones,12-16,Spanish,,,,SONA for course credit,,No,Female,,7,4-5,"Yes, but not so well","piano, violin",Strongly Agree,Agree,Identify the number of really high or really low notes,2020-11-09 17:19:24,40116
628,SSS0675,25,No,Headphones in ear,10-11,English,,,,SONA for course credit,,No,Female,,3,1,No,None,Strongly Agree,Neither Agree nor Disagree,listened to the notes to hear if they were the same,2020-11-09 18:32:17,40272
629,SSS0677,19,Yes,over the ear noise canceling ,,English,,,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Agree,the pitch of the notes ,2020-11-09 22:45:15,39711
630,SSS0679,19,No,"Headphones, over ear, A40 Astro Headset",7-10,English,Sometimes the wave dips too low or goes too high and I would decide from that which one is more different.,,,SONA for course credit,,Yes,Male,,2,1,"Yes, but not so well",Piano,Agree,Agree,I thought of it as a wave going up and down.,2020-11-10 18:17:17,39772
631,SSS0680,18,No,In-ear earphones,,English,,,,SONA for course credit,,No,Male,,2,0,No,,Strongly Agree,Agree,,2020-11-11 07:29:01,40017
632,SSS0681,20,No,In ear,6,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,5,1,No,no,Neither Agree nor Disagree,Strongly Agree,frequency,2020-11-10 08:45:22,39946
633,SSS0682,17,No,over-the-ear,10-16,Spanish,some where a higher tone or lower tone,,,SONA for course credit,,Yes,Female,,8,6-8,"Yes, I do alright","piano, ukelele",Strongly Agree,Neither Agree nor Disagree,pitch ,2020-11-10 18:47:48,39986
634,SSS0686,20,No,in-ear Apple earbuds,5-13,Other (please specify below):,I usually noticed that the melodies are similar with a few off-notes or sometimes the notes would be in a different order,,,SONA for course credit,"I learned french, arabic and english simultaneously as my first",Yes,Female,,4,6-8,"Yes, but not so well",piano,Strongly Agree,Disagree,"Did not really use a strategy, I just tried to keep the first melody in mind",2020-11-10 20:12:21,39870
635,SSS0687,20,No,"Over-the-ear, Gaming headset",11-12,Other (please specify below):,"Certain pitches varying, tones, etc.",,,SONA for course credit,Vietnamese,Yes,Male,,0,1,No,,Strongly Agree,Strongly Agree,Just listening and trying to match,2020-11-11 04:20:50,40003
636,SSS0688,19,No,bose noise canceling comfort headphones ,,English,when there was a bit of faster rhythm or maybe there was something missing about the rhythm,,,SONA for course credit,,Yes,Female,,5,0,No,,Strongly Agree,Neither Agree nor Disagree,tapping to the rhythm helped me keep track of the melodies ,2020-11-10 22:35:50,39797
637,SSS0689,21,No,I used airpods (in-ear),5-17 years old,English,I just listened for strikingly different notes,,,SONA for course credit,,Yes,Male,,9,9+,"Yes, I am near professional","Piano, guitar, bass, mandolin",Strongly Agree,Strongly Agree,"Imagined a 4-4 time, so kept track of the twelve notes in groups of 4",2020-11-10 22:58:19,39873
638,SSS0690,21,No,in-ear headphones ,16-19,English,,,,SONA for course credit,,No,Female,,5,2-3,"Yes, I do alright","vocals, keyboard",Strongly Agree,Strongly Disagree,humming the tune back to myself,2020-11-10 23:29:44,40268
639,SSS0691,19,No,in-ear,7 years old,Other (please specify below):,,,,SONA for course credit,Chinese,Yes,Female,,6,2-3,"Yes, I do alright",piano,Strongly Agree,Agree,,2020-11-10 23:30:58,39962
640,SSS0692,19,,in-ear,10-18,Other (please specify below):,,,,SONA for course credit,turkish,,Female,,6,6-8,"Yes, I am near professional",violin,Agree,Agree,,2020-11-11 14:53:48,39660
641,SSS0693,20,No,airpod pro,15-19,Other (please specify below):,,,,SONA for course credit,korean,No,Female,,5,4-5,"Yes, but not so well","flute, piano",Agree,Neither Agree nor Disagree,find if there is note or tone that wasn't on the original rhythm,2020-11-13 07:45:24,39599
642,SSS0697,19,No,"over-the-year headphones, Bose QC35",5-17,Other (please specify below):,yes some specific notes will change from the test melody,,,SONA for course credit,Chinese,Yes,Female,,5,9+,"Yes, but not so well",Piano,Agree,Agree,based on the similarity of the notes and whether they are the same ,2020-11-11 08:59:30,38011
643,SSS0698,20,No,Headphones ,,English,,,,SONA for course credit,,No,Male,,3,0,No,,Agree,Neither Agree nor Disagree,,2020-11-11 12:58:33,38467
644,SSS0700,20,No,in-ear apple airpods.,6-11,Other (please specify below):,,,,SONA for course credit,Turkish,No,Female,,6,4-5,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,I paid attention to the first and last note,2020-11-11 14:28:47,36356
645,SSS0702,23,No,headphones,,English,high/low tones,,,SONA for course credit,,Yes,Female,,2,0,No,,Strongly Agree,Neither Agree nor Disagree,counts,2020-11-11 14:45:13,39745
646,SSS0712,19,No,speakers,5,Other (please specify below):,"change tone, major to minor or the reverse",,,SONA for course credit,Chinese,Yes,Female,,8,9+,"Yes, I am a professional",piano,Strongly Agree,Agree,ear training skills,2021-04-12 04:03:48,41102
647,SSS0715,18,No,headphone over ear,,English,,,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Disagree,closed my eyes and listened,2021-04-12 00:19:07,40710
648,SSS0720,20,No,headphones in ear,8-13,English,,,,SONA for course credit,,No,Female,,6,4-5,"Yes, but not so well",flute,Strongly Agree,Neither Agree nor Disagree,,2021-03-29 10:06:31,36740
649,SSS0721,18,No,in-ear earbuds,7-9,Other (please specify below):,,,,SONA for course credit,Mandarin,No,Female,,2,2-3,"Yes, but not so well",Piano,Agree,Agree,No strategy ,2021-03-23 13:30:07,40720
650,SSS0722,21,No,Beats headphones,9-21,English,"If I heard different interval changes, I knew it was more different than the test melody.",,,SONA for course credit,,Yes,Female,,10,9+,"Yes, I am near professional","flute, piccolo",Strongly Agree,Disagree,I tried to listen for the intervals that matched to the test melody.,2021-03-23 13:43:27,40832
651,SSS0726,20,No,"Yes, in-ear, Airpods",6-9,English,,,,SONA for course credit,,No,Female,,,2-3,"Yes, but not so well",Piano,Strongly Agree,Agree,HIgh vs low pitch,2021-03-23 15:41:17,40809
652,SSS0728,18,No,in-ear earphones from apple,4-6,English,some notes were changed ,,,SONA for course credit,,Yes,Female,,7,2-3,"Yes, I do alright",piano,Strongly Agree,Disagree,listened carefully,2021-03-23 15:10:51,40412
